
#x69815578
FC-Player-ManuelA.OdrÃ­a
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	38	1	3	1	1	51	
-3900	10000	1	38	1	3	1	1	52	
-3850	10000	1	38	1	3	1	1	53	
-3800	20000	2	64	3	6	2	2	55	
-3750	20000	2	64	3	6	2	2	57	
-3700	20000	2	64	3	6	2	2	59	
-3650	20000	2	64	3	6	2	2	61	
-3600	20000	2	64	3	6	2	2	63	
-3550	20000	2	64	3	6	2	2	65	
-3500	20000	2	64	3	6	4	2	66	
-3450	20000	2	64	3	6	1	2	67	
-3400	20000	2	64	3	6	1	2	68	
-3350	40000	2	64	3	7	1	3	69	
-3300	40000	2	64	3	7	1	3	70	
-3250	40000	2	64	3	7	1	3	71	
-3200	20000	2	64	2	6	1	2	72	
-3150	20000	2	64	2	6	1	2	73	
-3100	20000	2	64	2	6	1	2	74	
-3050	20000	2	64	2	6	1	2	75	
-3000	50000	3	88	5	9	1	2	76	
-2950	50000	3	88	5	9	1	2	77	
-2900	50000	3	88	5	9	1	2	78	
-2850	50000	3	88	5	9	1	2	79	
-2800	30000	3	88	4	9	1	2	80	
-2750	50000	3	88	4	10	1	4	81	
-2700	50000	3	88	4	10	1	4	82	
-2650	50000	3	88	4	10	1	4	83	
-2600	60000	4	89	8	12	2	5	85	
-2550	80000	4	89	8	13	2	5	87	
-2500	80000	4	89	8	13	2	5	89	
-2450	80000	4	89	8	13	2	5	91	
-2400	80000	4	89	8	13	2	5	93	
-2350	60000	4	88	7	12	2	4	95	
-2300	80000	4	87	7	13	1	4	96	
-2250	80000	4	87	7	13	1	4	97	
-2200	90000	5	88	10	14	1	5	98	
-2150	110000	5	88	10	15	1	6	99	
-2100	110000	5	88	10	15	1	6	100	
-2050	110000	5	88	10	16	1	6	101	
-2000	110000	5	87	10	16	0	6	101	
-1950	110000	5	87	10	16	0	6	101	
-1900	110000	5	83	10	16	0	6	101	
-1850	110000	5	83	9	16	0	6	101	
-1800	160000	5	83	9	16	0	6	101	
-1750	160000	5	83	7	18	0	7	101	
-1700	160000	5	83	7	18	8	7	118	
-1650	150000	6	88	9	18	9	6	127	
-1600	170000	6	88	8	20	10	7	136	
-1550	160000	5	77	7	18	8	7	146	
-1500	170000	6	92	10	19	9	8	155	
-1450	170000	6	92	10	19	9	8	164	
-1400	170000	6	92	10	19	9	8	173	
-1350	170000	6	93	10	19	9	8	182	
-1300	180000	7	93	13	20	9	9	191	
-1250	180000	7	93	13	20	9	9	200	
-1200	180000	7	93	13	20	9	9	209	
-1150	180000	7	93	13	20	9	9	218	
-1100	220000	7	93	13	20	9	9	227	
-1050	240000	7	92	12	22	10	10	236	
-1000	270000	7	93	12	23	11	10	246	
-975	270000	7	93	12	23	11	10	257	
-950	270000	7	93	12	23	11	10	268	
-925	290000	7	90	11	25	11	10	279	
-900	290000	7	90	11	25	11	10	290	
-875	290000	7	90	11	25	11	10	301	
-850	290000	6	77	9	24	11	8	296	
-825	290000	6	76	8	25	14	8	307	
-800	290000	6	76	8	25	14	8	321	
-775	310000	6	76	7	30	15	9	335	
-750	250000	5	61	4	25	14	7	338	
-725	250000	5	61	4	25	14	7	352	
-700	250000	5	57	4	25	14	7	366	
-675	230000	5	57	5	21	10	6	380	
-650	230000	5	57	5	21	10	6	390	
-625	260000	5	57	4	23	9	6	399	
-600	260000	5	57	4	23	9	6	408	
-575	260000	5	57	4	23	9	6	417	
-550	260000	5	57	3	24	11	6	426	
-525	260000	5	57	3	24	11	6	437	
-500	250000	4	41	2	23	8	7	448	
-475	250000	4	48	2	23	8	7	456	
-450	150000	3	33	2	17	8	5	450	
-425	150000	3	33	2	17	8	5	458	
-400	190000	3	33	2	18	9	5	466	
-375	190000	3	42	2	18	9	5	475	
-350	190000	3	42	2	17	8	5	484	
-325	190000	3	42	2	17	8	5	492	
-300	190000	3	42	2	17	8	5	500	
-275	190000	3	42	2	17	8	5	508	
-250	190000	3	42	2	17	8	5	516	
-225	190000	3	42	2	17	8	5	524	
-200	190000	3	42	2	17	8	5	532	
-175	220000	3	42	2	17	8	5	540	
-150	220000	3	42	2	17	8	5	548	
-125	220000	3	42	2	18	9	5	556	
-100	220000	3	42	2	17	8	5	565	
-75	220000	3	42	2	17	8	5	573	
-50	220000	3	42	2	17	8	5	581	
-25	220000	3	42	2	18	9	5	589	
1	220000	3	42	2	17	8	5	598	
20	220000	3	42	2	17	8	5	606	
40	220000	3	42	2	17	8	5	614	
60	220000	3	42	2	17	8	5	622	
80	220000	3	42	2	17	8	5	630	
100	220000	3	42	2	17	8	5	638	
120	220000	3	42	2	17	8	5	646	
140	220000	3	42	2	17	8	5	654	
160	220000	3	42	2	17	8	5	662	
180	220000	3	42	2	17	8	5	670	
200	220000	3	42	2	17	8	5	678	
220	220000	3	42	2	17	8	5	686	
240	220000	3	42	2	17	8	5	694	
260	220000	3	42	2	16	6	5	702	
280	220000	3	42	2	16	6	5	708	
300	220000	3	42	2	16	6	5	714	
320	220000	3	42	2	16	6	5	720	
340	220000	3	42	2	16	6	5	726	
360	220000	3	42	2	16	6	5	732	
380	220000	3	42	2	16	6	5	738	
400	220000	3	42	2	18	9	5	744	
420	160000	2	31	1	12	8	3	741	
