
#x69815678
FC-Player-ZiaurRahman
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	38	1	5	1	2	51	
-3900	10000	1	38	1	5	1	2	52	
-3850	10000	1	38	1	5	1	2	53	
-3800	10000	1	38	1	5	1	2	54	
-3750	20000	2	48	4	6	2	3	56	
-3700	20000	2	48	4	6	2	3	58	
-3650	20000	2	48	4	6	2	3	60	
-3600	20000	2	48	4	6	2	3	62	
-3550	20000	2	48	4	6	2	3	64	
-3500	20000	2	48	4	6	2	3	66	
-3450	40000	2	48	4	6	2	4	68	
-3400	40000	2	48	4	6	2	4	70	
-3350	40000	2	48	4	6	2	4	72	
-3300	40000	2	48	4	6	2	4	74	
-3250	40000	2	48	4	6	3	4	77	
-3200	40000	2	48	4	6	3	4	80	
-3150	40000	2	48	4	6	3	4	83	
-3100	40000	2	48	4	6	3	4	86	
-3050	40000	2	48	4	6	3	4	89	
-3000	60000	2	48	3	9	3	4	92	
-2950	70000	2	49	2	8	6	4	96	
-2900	70000	2	49	2	8	6	4	102	
-2850	70000	2	49	2	8	6	4	108	
-2800	70000	2	49	2	8	6	4	114	
-2750	80000	3	50	5	9	7	5	121	
-2700	80000	3	50	5	9	7	5	128	
-2650	80000	3	50	5	9	7	5	135	
-2600	80000	3	50	5	9	7	5	142	
-2550	80000	3	50	5	9	7	5	149	
-2500	80000	3	50	5	9	7	5	156	
-2450	80000	3	50	5	9	7	5	163	
-2400	80000	3	50	5	9	7	5	170	
-2350	80000	3	50	5	9	7	5	177	
-2300	100000	3	50	4	11	7	5	184	
-2250	100000	3	50	4	11	7	5	191	
-2200	100000	3	50	4	11	7	5	198	
-2150	100000	3	50	4	11	7	5	205	
-2100	100000	3	50	4	11	7	5	212	
-2050	100000	3	50	4	11	7	5	219	
-2000	100000	3	50	4	11	7	5	226	
-1950	40000	2	28	2	8	1	3	222	
-1900	40000	2	28	2	8	1	3	223	
-1850	40000	2	28	2	8	1	3	224	
-1800	60000	2	29	1	11	1	3	225	
-1750	40000	2	29	1	8	1	3	226	
-1700	40000	2	29	1	8	1	3	227	
-1650	50000	3	45	4	9	2	4	229	
-1600	50000	3	45	4	9	7	4	289	
-1550	50000	3	45	4	9	7	4	296	
-1500	50000	3	45	4	9	7	4	303	
-1450	50000	3	45	4	9	7	4	310	
-1400	50000	3	45	4	9	7	4	317	
-1350	50000	3	45	4	9	7	4	324	
-1300	50000	3	45	4	9	7	4	331	
-1250	50000	3	45	4	9	7	4	338	
-1200	70000	3	48	4	9	7	5	345	
-1150	70000	3	48	4	9	7	5	352	
-1100	70000	3	48	4	9	7	5	359	
-1050	70000	3	48	4	9	7	5	366	
-1000	60000	2	31	3	4	1	3	373	
-975	60000	2	38	3	4	1	3	374	
-950	60000	2	38	3	4	1	3	375	
-925	60000	2	38	3	4	1	3	376	
-900	90000	2	40	2	6	1	3	377	
-875	60000	2	40	2	6	1	3	378	
-850	30000	1	24	2	1	2	2	364	
-825	30000	1	24	2	1	2	2	366	
-800	0	0	0	0	0	0	0	353	
