
#x69814a78
FC-Player-Parameswara
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	43	3	1	1	2	51	
-3900	10000	1	43	3	1	1	2	52	
-3850	10000	1	43	3	1	1	2	53	
-3800	10000	1	43	3	1	1	2	54	
-3750	20000	2	67	6	2	1	3	55	
-3700	20000	2	67	6	2	1	3	56	
-3650	40000	2	67	4	9	1	2	57	
-3600	40000	2	67	4	9	1	2	58	
-3550	40000	2	67	4	9	1	2	59	
-3500	40000	2	67	4	9	1	2	60	
-3450	60000	2	67	4	9	1	2	61	
-3400	40000	2	67	5	2	1	3	62	
-3350	40000	2	67	5	2	1	3	63	
-3300	40000	2	67	5	2	1	3	64	
-3250	40000	2	67	5	2	1	3	65	
-3200	50000	3	79	8	3	1	3	66	
-3150	50000	3	79	8	3	1	3	67	
-3100	70000	3	79	6	10	1	2	68	
-3050	70000	3	79	6	10	1	2	69	
-3000	70000	3	79	6	10	1	2	70	
-2950	100000	3	80	6	10	1	2	71	
-2900	100000	3	80	6	10	1	2	72	
-2850	100000	3	80	6	10	1	2	73	
-2800	100000	3	80	6	10	1	2	74	
-2750	120000	3	80	5	12	2	3	76	
-2700	120000	3	80	5	12	2	3	78	
-2650	120000	3	80	5	12	2	3	80	
-2600	120000	3	80	5	12	2	3	82	
-2550	120000	3	80	5	12	2	3	84	
-2500	120000	3	80	5	12	2	3	86	
-2450	120000	3	80	5	12	16	3	87	
-2400	120000	3	80	5	12	1	3	88	
-2350	120000	3	80	5	12	1	3	89	
-2300	120000	3	80	5	12	1	3	90	
-2250	160000	3	80	4	14	1	3	91	
-2200	140000	3	80	5	7	1	4	92	
-2150	160000	3	80	4	11	2	4	94	
-2100	170000	4	83	7	13	3	6	97	
-2050	170000	4	83	7	13	3	6	100	
-2000	130000	4	83	7	12	3	6	103	
-1950	130000	4	83	7	12	3	6	106	
-1900	130000	4	83	7	12	3	6	109	
-1850	130000	4	83	7	12	3	6	112	
-1800	110000	4	83	7	8	2	6	114	
-1750	110000	4	83	7	8	2	6	116	
-1700	120000	5	131	11	10	3	7	118	
-1650	160000	5	131	9	16	4	7	122	
-1600	160000	5	131	9	16	3	7	125	
-1550	170000	6	143	12	17	4	8	129	
-1500	170000	6	143	12	17	4	8	133	
-1450	170000	6	143	12	17	4	8	137	
-1400	230000	6	143	11	19	4	8	141	
-1350	230000	6	143	11	19	4	8	145	
-1300	210000	6	139	11	15	3	9	148	
-1250	240000	6	140	10	17	3	10	151	
-1200	240000	6	140	10	17	3	10	154	
-1150	240000	6	140	10	17	3	10	157	
-1100	280000	6	139	9	21	3	11	160	
-1050	280000	6	139	9	21	3	11	163	
-1000	260000	7	152	12	21	4	11	167	
-975	260000	7	152	12	21	3	11	170	
-950	290000	7	155	11	23	4	11	174	
-925	290000	7	154	11	23	4	11	178	
-900	300000	8	161	14	25	5	12	183	
-875	250000	7	148	12	20	4	10	184	
-850	250000	7	148	12	21	4	10	188	
-825	250000	7	148	12	21	3	10	191	
-800	250000	7	148	12	21	3	10	194	
-775	290000	7	145	11	26	4	10	198	
-750	270000	7	145	11	24	3	10	201	
-725	280000	8	145	13	26	3	10	204	
-700	280000	8	145	13	24	3	10	207	
-675	300000	8	143	12	26	3	10	210	
-650	270000	8	140	13	23	2	10	212	
-625	280000	9	141	16	24	2	11	214	
-600	280000	9	141	16	24	2	11	216	
-575	320000	10	145	16	23	1	12	217	
-550	350000	10	143	15	25	2	12	219	
-525	380000	11	155	17	26	2	11	221	
-500	420000	11	155	15	32	3	12	224	
-475	420000	11	155	15	32	3	12	227	
-450	420000	11	155	15	32	3	12	230	
-425	420000	11	155	15	32	3	12	233	
-400	470000	11	155	14	34	4	13	237	
-375	470000	11	155	14	34	4	13	241	
-350	470000	11	155	14	34	4	13	245	
-325	470000	11	155	14	34	4	13	249	
-300	490000	11	156	13	36	4	13	253	
-275	520000	11	156	12	38	4	13	257	
-250	530000	12	164	15	40	4	14	261	
-225	500000	12	164	15	38	3	14	264	
-200	500000	12	164	15	38	3	14	267	
-175	500000	12	164	15	38	3	14	270	
-150	500000	12	164	15	38	3	14	273	
-125	500000	12	164	15	38	3	14	276	
-100	520000	12	164	13	41	2	14	279	
-75	520000	12	164	13	41	1	15	280	
-50	560000	12	164	12	43	2	15	281	
-25	580000	12	164	12	44	2	15	283	
1	580000	12	164	12	44	2	15	285	
20	580000	12	164	12	44	1	16	286	
40	580000	12	164	12	44	1	16	287	
60	640000	12	164	12	44	1	18	288	
80	680000	12	164	11	46	0	20	288	
100	680000	12	164	10	46	0	19	288	
120	680000	12	164	10	46	0	19	288	
140	680000	12	164	10	46	6	19	298	
160	680000	12	164	10	47	5	19	303	
180	710000	12	164	9	49	5	19	308	
200	740000	12	164	8	49	5	19	313	
220	740000	12	164	8	49	7	19	322	
240	740000	12	164	8	48	7	19	329	
260	740000	12	164	8	48	6	19	335	
280	800000	12	164	7	50	9	19	342	
300	800000	12	164	7	50	9	19	351	
320	800000	12	164	7	49	9	19	360	
340	800000	12	164	7	49	9	19	369	
360	840000	13	169	8	52	8	19	377	
380	840000	13	169	9	51	8	19	385	
400	840000	13	169	9	51	8	19	393	
420	840000	13	169	8	53	9	21	401	
440	840000	13	169	8	54	9	21	410	
460	840000	13	169	9	54	13	21	423	
480	810000	13	169	10	52	12	21	434	
