
#x69815a78
FC-Player-TajAl-DinAl-Hasani
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	40	1	3	1	2	51	
-3900	10000	1	40	1	3	1	2	52	
-3850	10000	1	40	1	3	1	2	53	
-3800	10000	1	40	1	3	1	2	54	
-3750	10000	1	40	1	3	1	2	55	
-3700	20000	2	62	4	4	2	3	57	
-3650	20000	2	61	4	4	2	3	59	
-3600	20000	2	61	4	4	2	3	61	
-3550	20000	2	61	4	4	2	3	63	
-3500	20000	2	61	4	4	4	3	64	
-3450	20000	2	59	4	4	1	3	65	
-3400	40000	2	61	3	6	1	3	66	
-3350	40000	2	61	3	6	1	3	67	
-3300	40000	2	61	3	6	1	3	68	
-3250	40000	2	60	3	6	1	3	69	
-3200	40000	2	60	3	6	1	3	70	
-3150	40000	2	60	3	6	1	3	71	
-3100	40000	2	60	3	6	1	3	72	
-3050	40000	2	60	3	6	1	3	73	
-3000	60000	2	60	3	6	2	4	75	
-2950	60000	2	60	3	6	2	4	77	
-2900	60000	2	60	3	6	2	4	79	
-2850	60000	2	60	2	6	2	4	81	
-2800	60000	2	59	2	6	2	4	83	
-2750	60000	2	59	2	6	2	4	85	
-2700	60000	2	59	2	8	2	4	87	
-2650	70000	3	63	5	10	2	5	89	
-2600	70000	3	63	5	10	2	5	91	
-2550	70000	3	63	5	10	2	5	93	
-2500	50000	3	63	4	10	1	4	94	
-2450	50000	3	63	4	10	0	4	94	
-2400	50000	3	63	4	10	0	4	94	
-2350	50000	3	63	4	10	0	4	94	
-2300	60000	4	67	7	11	1	5	95	
-2250	60000	4	67	7	11	1	5	96	
-2200	80000	4	67	7	12	2	5	98	
-2150	80000	4	67	7	13	2	5	100	
-2100	80000	4	67	7	13	2	5	102	
-2050	80000	4	67	7	13	2	5	104	
-2000	110000	4	67	7	13	2	5	106	
-1950	110000	4	67	7	13	2	5	108	
-1900	90000	4	67	6	12	1	5	109	
-1850	110000	4	67	5	14	1	5	110	
-1800	130000	4	67	5	14	2	6	112	
-1750	110000	4	67	4	14	1	5	113	
-1700	110000	4	67	4	14	1	5	114	
-1650	110000	4	67	4	14	1	5	115	
-1600	120000	5	79	6	17	1	5	116	
-1550	150000	6	87	9	20	3	6	119	
-1500	150000	6	87	9	20	3	6	122	
-1450	150000	6	87	9	20	3	6	125	
-1400	150000	6	87	9	20	3	6	128	
-1350	150000	6	87	9	20	3	6	131	
-1300	150000	6	87	9	20	3	6	134	
-1250	150000	6	87	9	20	3	6	137	
-1200	150000	6	87	9	20	3	6	140	
-1150	150000	6	87	9	20	3	6	143	
-1100	170000	6	87	9	21	3	6	146	
-1050	170000	6	87	9	21	3	6	149	
-1000	210000	6	87	8	21	3	7	152	
-975	210000	6	87	8	21	3	7	155	
-950	210000	6	87	8	21	3	7	158	
-925	210000	6	87	8	21	3	7	161	
-900	240000	6	88	7	22	3	7	164	
-875	220000	6	88	6	21	3	7	167	
-850	220000	6	88	5	21	6	7	173	
-825	240000	6	88	4	23	6	7	179	
-800	260000	6	88	4	23	7	8	186	
-775	250000	7	91	6	24	6	8	192	
-750	270000	7	91	6	25	7	8	198	
-725	280000	8	95	8	29	7	8	205	
-700	280000	8	95	8	29	7	8	212	
-675	310000	8	95	7	31	7	8	219	
-650	310000	8	95	7	31	7	8	226	
-625	310000	8	95	7	31	7	8	233	
-600	310000	8	95	7	31	7	8	240	
-575	240000	8	95	8	29	6	7	246	
-550	260000	8	95	7	31	7	7	253	
-525	260000	8	95	7	31	7	7	260	
-500	260000	8	95	7	31	7	7	267	
-475	240000	8	94	7	30	7	7	274	
-450	240000	8	94	7	30	11	7	285	
-425	240000	8	94	7	29	11	7	296	
-400	250000	9	117	9	31	12	8	308	
-375	280000	9	117	9	33	14	8	320	
-350	280000	9	117	9	33	14	8	334	
-325	280000	9	117	9	33	14	8	348	
-300	280000	9	117	9	33	14	8	362	
-275	290000	10	122	13	33	14	9	376	
-250	330000	10	122	12	35	15	11	391	
-225	310000	10	122	12	32	15	11	406	
-200	310000	10	121	11	32	15	11	421	
-175	300000	9	109	8	31	20	10	441	
-150	300000	9	116	8	31	20	10	461	
-125	300000	9	116	8	30	20	10	481	
-100	280000	9	116	7	30	22	9	504	
-75	320000	9	116	6	30	14	10	518	
-50	320000	9	116	6	29	14	11	532	
-25	320000	9	116	6	29	14	11	546	
1	320000	9	116	6	29	14	11	560	
20	320000	9	116	6	28	14	11	574	
40	320000	9	116	6	28	14	11	588	
60	340000	9	117	6	28	19	11	607	
80	340000	9	117	6	28	19	11	626	
100	340000	9	117	6	27	19	11	645	
120	340000	9	117	7	28	21	11	668	
140	340000	9	117	8	30	22	11	689	
160	390000	9	117	7	31	23	11	711	
180	390000	9	117	7	31	23	11	734	
200	390000	9	117	9	30	23	11	757	
220	350000	9	117	9	29	26	10	785	
240	350000	9	117	9	29	26	10	811	
260	350000	9	117	10	30	26	10	837	
280	350000	9	117	10	30	26	10	863	
300	350000	9	117	10	30	26	10	889	
320	350000	9	117	10	30	26	10	915	
340	350000	9	117	10	30	26	10	941	
360	370000	9	117	9	32	26	10	967	
380	370000	9	117	9	32	26	10	993	
400	410000	9	117	8	32	26	11	1019	
420	410000	9	117	8	31	26	11	1045	
440	410000	9	117	8	31	26	11	1071	
460	410000	9	117	8	31	26	11	1097	
480	410000	9	117	8	31	26	11	1123	
