
#x69815678
FC-Player-L.L.ZAMENHOF
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	32	2	3	1	1	51	
-3900	10000	1	32	2	3	1	1	52	
-3850	10000	1	32	2	3	1	1	53	
-3800	20000	2	55	5	5	1	2	54	
-3750	20000	2	55	5	5	1	2	55	
-3700	20000	2	55	5	5	1	2	56	
-3650	20000	2	55	5	5	1	2	57	
-3600	20000	2	55	5	5	1	2	58	
-3550	20000	2	55	5	5	2	2	59	
-3500	60000	2	55	4	9	2	3	61	
-3450	60000	2	55	4	9	2	3	63	
-3400	40000	2	55	3	7	2	2	65	
-3350	40000	2	55	3	7	2	2	67	
-3300	40000	2	55	3	8	2	2	69	
-3250	40000	2	54	3	8	2	2	71	
-3200	30000	3	80	6	7	3	3	74	
-3150	30000	3	80	6	7	3	3	77	
-3100	30000	3	80	6	7	3	3	80	
-3050	30000	3	80	7	6	3	3	83	
-3000	60000	4	86	9	9	4	4	87	
-2950	60000	4	86	9	9	4	4	91	
-2900	80000	4	88	9	11	4	5	95	
-2850	80000	4	88	9	11	4	5	99	
-2800	80000	4	88	9	11	4	5	103	
-2750	100000	4	88	8	13	4	5	107	
-2700	100000	4	88	8	13	4	5	111	
-2650	100000	4	88	8	13	4	5	115	
-2600	100000	4	88	8	13	4	5	119	
-2550	120000	4	89	7	15	4	6	123	
-2500	100000	4	89	5	12	4	5	127	
-2450	100000	4	89	5	12	4	5	131	
-2400	100000	4	89	5	12	4	5	135	
-2350	110000	5	97	8	15	5	6	140	
-2300	130000	5	97	7	19	5	6	145	
-2250	130000	5	97	8	19	5	6	150	
-2200	140000	6	102	10	21	5	7	155	
-2150	140000	6	102	10	21	4	7	159	
-2100	140000	6	102	10	21	3	7	162	
-2050	100000	6	102	10	17	3	6	165	
-2000	120000	6	102	10	17	4	6	169	
-1950	120000	6	102	10	17	4	6	173	
-1900	150000	6	102	9	18	4	6	177	
-1850	140000	7	127	12	14	4	7	181	
-1800	160000	7	127	11	16	4	7	185	
-1750	150000	6	121	10	14	4	6	189	
-1700	150000	6	122	10	14	4	6	193	
-1650	110000	5	109	9	11	2	5	197	
-1600	120000	6	114	12	13	6	5	207	
-1550	130000	7	119	14	15	6	6	213	
-1500	150000	6	109	13	13	6	6	219	
-1450	150000	6	114	13	16	4	6	225	
-1400	160000	5	85	9	14	3	5	228	
-1350	160000	5	86	9	14	3	5	231	
-1300	160000	5	86	9	14	3	5	234	
-1250	160000	5	86	9	14	3	5	237	
-1200	140000	5	86	10	10	3	5	240	
-1150	160000	5	85	9	12	3	6	243	
-1100	160000	5	85	9	12	3	6	246	
-1050	160000	5	85	9	12	3	6	249	
-1000	160000	5	85	9	12	3	6	252	
-975	160000	5	85	9	12	3	6	255	
-950	160000	5	85	9	12	3	6	258	
-925	160000	5	85	9	12	3	6	261	
-900	220000	5	85	7	18	3	6	264	
-875	220000	5	85	7	18	3	6	267	
-850	220000	5	85	7	18	3	6	270	
-825	250000	5	88	6	20	7	6	279	
-800	250000	5	88	6	20	7	6	286	
-775	250000	5	88	6	20	7	6	293	
-750	250000	5	88	6	20	7	6	300	
-725	250000	5	88	6	20	7	6	307	
-700	250000	5	88	6	19	7	6	314	
-675	250000	5	88	6	19	7	6	321	
-650	280000	5	88	5	22	7	6	328	
-625	250000	5	88	5	20	7	6	335	
-600	250000	5	88	5	19	10	6	347	
-575	250000	5	88	5	19	10	6	357	
-550	250000	5	88	5	20	10	6	367	
-525	250000	5	88	5	20	10	6	377	
-500	260000	6	88	8	21	10	7	387	
-475	260000	6	88	8	21	10	7	397	
-450	240000	6	88	8	16	10	7	407	
-425	240000	6	88	8	16	10	7	417	
-400	260000	6	88	8	16	9	8	426	
-375	260000	6	88	8	16	9	8	435	
-350	260000	6	88	8	16	9	8	444	
-325	290000	6	88	7	18	9	8	453	
-300	300000	7	88	10	21	10	9	463	
-275	370000	7	88	9	22	12	9	474	
-250	370000	7	88	9	22	12	9	486	
-225	370000	7	88	9	22	12	9	498	
-200	370000	7	88	9	22	11	9	509	
-175	340000	7	88	9	19	11	9	520	
-150	340000	7	88	9	19	11	9	531	
-125	340000	7	88	9	20	11	9	542	
-100	340000	7	88	9	20	11	9	553	
-75	360000	7	88	9	20	11	9	564	
-50	360000	7	88	9	20	11	9	575	
-25	360000	7	88	9	20	11	9	586	
1	370000	8	93	12	21	12	10	598	
20	400000	8	93	11	25	12	10	610	
40	400000	8	93	11	25	11	10	621	
60	400000	8	93	11	25	11	10	632	
80	400000	8	93	10	22	11	10	643	
100	400000	8	93	10	22	11	10	654	
120	400000	8	93	10	22	10	10	664	
140	440000	8	93	9	24	10	10	674	
160	440000	8	93	9	24	10	10	684	
180	490000	8	94	7	28	12	10	694	
200	490000	8	94	7	28	12	10	706	
220	490000	8	94	7	28	12	10	718	
240	520000	8	94	6	30	12	10	730	
260	520000	8	94	6	30	12	10	742	
280	530000	9	94	8	34	15	10	757	
300	530000	9	94	8	34	15	10	772	
320	530000	9	94	8	33	15	10	787	
340	530000	9	94	8	33	18	10	806	
360	490000	9	94	8	32	18	10	824	
380	490000	9	94	8	32	18	10	842	
400	490000	9	94	8	32	18	10	860	
420	490000	9	94	8	32	18	10	878	
440	520000	9	94	7	36	18	10	896	
460	520000	9	94	7	36	18	10	914	
480	520000	9	94	7	35	18	10	932	
500	520000	9	94	7	35	18	10	950	
