
#x69814c78
FC-Player-Agenor
year	population	numberOfCities	nationalTerritory	civFoodSurplusTotal	civProductionTotal	civGoldProduction	civBulbsPerTurn	currentGold	
-4000	0	0	0	0	0	0	0	50	
-3950	10000	1	20	2	3	1	1	51	
-3900	10000	1	20	2	3	1	1	52	
-3850	10000	1	20	2	3	1	1	53	
-3800	20000	2	28	5	4	1	2	54	
-3750	20000	2	28	5	4	1	2	55	
-3700	20000	2	28	5	4	1	2	56	
-3650	20000	2	28	5	4	1	2	57	
-3600	20000	2	28	5	4	1	2	58	
-3550	20000	2	27	5	4	2	2	59	
-3500	60000	2	27	4	8	2	3	61	
-3450	60000	2	27	4	8	2	3	63	
-3400	40000	2	27	3	6	2	3	65	
-3350	40000	2	27	3	6	2	3	67	
-3300	40000	2	27	3	6	2	3	69	
-3250	40000	2	27	3	6	2	3	71	
-3200	50000	3	28	5	7	2	4	73	
-3150	50000	3	27	5	7	2	4	75	
-3100	50000	3	27	5	7	2	4	77	
-3050	50000	3	27	5	7	2	4	79	
-3000	50000	3	27	5	7	2	4	81	
-2950	50000	3	27	4	7	2	4	83	
-2900	70000	3	27	4	9	2	4	85	
-2850	70000	3	27	4	9	2	4	87	
-2800	70000	3	27	4	9	2	4	89	
-2750	70000	3	27	4	9	2	4	91	
-2700	70000	3	27	4	9	2	4	93	
-2650	70000	3	27	4	9	2	5	95	
-2600	50000	3	27	3	7	2	4	97	
-2550	50000	3	27	3	7	2	4	99	
-2500	50000	3	27	3	7	2	4	101	
-2450	50000	3	27	3	7	2	4	103	
-2400	50000	3	27	3	7	2	4	105	
-2350	50000	3	27	3	7	2	4	107	
-2300	50000	3	27	3	7	2	4	109	
-2250	50000	3	27	3	5	3	3	112	
-2200	50000	3	27	3	5	3	3	115	
-2150	70000	3	27	4	7	3	4	118	
-2100	70000	3	27	4	7	3	4	121	
-2050	70000	3	27	4	7	3	4	124	
-2000	50000	3	27	3	4	3	3	127	
-1950	70000	3	27	3	5	3	4	130	
-1900	70000	3	27	3	5	3	4	133	
-1850	70000	3	27	7	6	3	4	136	
-1800	70000	3	27	7	6	3	4	139	
-1750	70000	3	27	7	6	6	4	146	
-1700	70000	3	27	7	6	6	4	152	
-1650	90000	3	27	6	10	10	4	158	
-1600	60000	2	23	5	9	9	3	167	
-1550	60000	2	23	5	9	9	2	176	
-1500	30000	1	15	2	7	8	1	184	
-1450	10000	1	15	3	3	4	1	192	
-1400	10000	1	15	3	3	4	1	196	
-1350	10000	1	15	3	3	4	1	200	
-1300	10000	1	15	3	3	4	1	204	
-1250	30000	1	15	3	5	6	2	208	
-1200	30000	1	15	3	5	6	2	214	
-1150	10000	1	15	3	3	4	1	220	
-1100	0	0	0	0	0	0	0	224	
